lizard,x,y
a,35.116954130434785,-119.62337869565218
aa,35.11416181818182,-119.6197890909091
ab,35.11564943396226,-119.61928132075472
ac,35.113325510204085,-119.62251612244899
b,35.115692631578945,-119.61795666666667
c,35.11662064912281,-119.61891403508771
d,35.11734,-119.62115178571429
e,35.118626,-119.627196
f,35.115274,-119.621652
g,35.116132666666665,-119.61566066666667
h,35.10956306122449,-119.60963653061225
i,35.114250740740744,-119.62354111111111
j,35.113791702127656,-119.62092382978723
k,35.118030000000005,-119.62623428571429
l,35.11376529411765,-119.61391980392156
m,35.114534285714285,-119.6246716122449
n,35.113596666666666,-119.62000921568628
o,35.11526767857143,-119.61590321428571
p,35.11751642857143,-119.61553071428571
q,35.11006206896552,-119.6078324137931
r,35.111400576923074,-119.62271711538462
s,35.116768846153846,-119.62102961538461
t,35.115743461538464,-119.62074734615385
u,35.11400074074074,-119.62296333333333
v,35.117210892857145,-119.62001267857143
w,35.11384270833333,-119.62238
x,35.11428333333333,-119.61941333333334
y,35.111022857142856,-119.60949714285714
z,35.115596595744684,-119.62091872340426
