lizard,frequency,date,time,time.block,time.class,lat,long,ground,mesohabitat,microhabitat.simple,microhabitat1,microhabitat2,microhabitat3,behavior,observer
r,760,3-Jul,10:58,morn,AM,35.1116,-119.62251,above,shrub,annuals,annuals,,,cooling,taylor
e,320,1-Jul,10:40,morn,AM,35.1186,-119.62721,below,open,burrow,burrow,,,standing,taylor
e,320,18-Jul,19:46,evening,PM,35.11863,-119.6272,below,open,burrow,burrow,,,standing,taylor
e,320,22-Jun,15:39,afternoon,PM,35.11863,-119.62719,below,open,burrow,burrow,,,standing,taylor
e,320,9-Jul,13:20,afternoon,PM,35.11863,-119.62719,below,open,burrow,burrow,,,standing,taylor
e,320,16-Jun,10:25,morn,AM,35.11864,-119.62719,below,open,burrow,burrow,,,standing,taylor
k,500,22-Jun,8:43,morn,AM,35.11809,-119.6268,below,open,burrow,burrow,,,standing,taylor
k,500,4-Jul,11:57,morn,AM,35.11834,-119.62671,below,open,burrow,burrow,,,standing,taylor
k,500,21-Jun,11:28,morn,AM,35.11817,-119.6267,below,open,burrow,burrow,,,standing,taylor
k,500,3-Jul,8:45,morn,AM,35.11834,-119.6267,below,open,burrow,burrow,,,standing,taylor
k,500,24-Jun,14:08,afternoon,PM,35.11839,-119.6267,below,open,burrow,burrow,,,standing,taylor
k,500,29-Jun,19:57,evening,PM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,29-Jun,9:01,morn,AM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,30-Jun,15:25,afternoon,PM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,30-Jun,19:57,evening,PM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,30-Jun,8:47,morn,AM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,1-Jul,5:20,early morn,AM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,1-Jul,10:36,morn,AM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,2-Jul,15:24,afternoon,PM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,2-Jul,20:04,evening,PM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,2-Jul,9:31,morn,AM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,3-Jul,5:25,early morn,AM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,5-Jul,10:40,morn,AM,35.11833,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,25-Jun,5:13,early morn,AM,35.11834,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,27-Jun,14:57,afternoon,PM,35.11834,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,27-Jun,10:44,morn,AM,35.11834,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,5-Jul,16:03,afternoon,PM,35.11834,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,5-Jul,20:15,evening,PM,35.11834,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,9-Jul,13:15,afternoon,PM,35.11834,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,28-Jun,8:56,morn,AM,35.11835,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,25-Jun,11:30,morn,AM,35.11836,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,26-Jun,11:31,morn,AM,35.11837,-119.62669,below,open,burrow,burrow,,,standing,taylor
k,500,24-Jun,8:35,morn,AM,35.11816,-119.62667,below,open,burrow,burrow,,,standing,taylor
k,500,23-Jun,19:55,evening,PM,35.1182,-119.62667,below,open,burrow,burrow,,,standing,taylor
k,500,24-Jun,5:15,early morn,AM,35.1182,-119.62667,below,open,burrow,burrow,,,standing,taylor
k,500,26-Jun,14:36,afternoon,PM,35.11833,-119.62667,below,open,burrow,burrow,,,standing,taylor
k,500,4-Jul,16:10,afternoon,PM,35.11835,-119.62667,below,open,burrow,burrow,,,standing,taylor
k,500,28-Jun,15:33,afternoon,PM,35.11836,-119.62667,below,open,burrow,burrow,,,standing,taylor
k,500,28-Jun,20:09,evening,PM,35.11836,-119.62667,below,open,burrow,burrow,,,standing,taylor
k,500,25-Jun,14:18,afternoon,PM,35.11838,-119.62667,below,open,burrow,burrow,,,standing,taylor
k,500,21-Jun,5:12,early morn,AM,35.11819,-119.62666,below,open,burrow,burrow,,,standing,taylor
k,500,18-Jun,20:45,evening,PM,35.1182,-119.62666,below,open,burrow,burrow,,,standing,taylor
k,500,26-Jun,5:39,early morn,AM,35.11834,-119.62666,below,open,burrow,burrow,,,standing,taylor
k,500,27-Jun,5:33,early morn,AM,35.11835,-119.62666,below,open,burrow,burrow,,,standing,taylor
k,500,18-Jul,19:32,evening,PM,35.11836,-119.62666,below,open,burrow,burrow,,,standing,taylor
k,500,18-Jun,14:43,afternoon,PM,35.11818,-119.62665,below,open,burrow,burrow,,,standing,taylor
k,500,23-Jun,8:37,morn,AM,35.11809,-119.62627,below,open,burrow,burrow,,,standing,taylor
k,500,22-Jun,15:40,afternoon,PM,35.11812,-119.62626,below,open,burrow,burrow,,,standing,taylor
k,500,22-Jun,20:27,evening,PM,35.11812,-119.62625,below,open,burrow,burrow,,,standing,taylor
m,540,21-Jun,11:18,morn,AM,35.11391,-119.62613,above,shrub,shrub,shrubedge,,,sunning,taylor
m,540,27-Jun,15:39,afternoon,PM,35.11396,-119.62606,below,shrub,shrub,undershrub,,,cooling,taylor
m,540,21-Jun,5:34,early morn,AM,35.11486,-119.62589,below,open,burrow,burrow,washbank,,standing,taylor
m,540,27-Jun,9:38,morn,AM,35.11398,-119.62563,above,open,bare,rock,,,sunning,taylor
m,540,21-Jun,15:05,afternoon,PM,35.11398,-119.62558,below,open,burrow,burrow,,,standing,taylor
m,540,23-Jun,16:03,afternoon,PM,35.11478,-119.62498,above,shrub,burrow,burrow,undershrub,washbank,cooling,taylor
m,540,29-Jun,19:26,evening,PM,35.11471,-119.62463,above,open,burrow,burrow,washbank,,sunning,taylor
m,540,26-Jun,10:06,morn,AM,35.11475,-119.6246,above ,shrub,shrub,undershrub,,,avoiding.predators,taylor
m,540,4-Jul,17:26,afternoon,PM,35.11407,-119.62458,above,shrub,shrub,undershrub,,,cooling,taylor
m,540,24-Jun,15:28,afternoon,PM,35.11462,-119.62457,below,open,burrow,burrow,,,standing,taylor
m,540,3-Jul,10:31,morn,AM,35.11439,-119.62456,above,shrub,shrub,undershrub,,,cooling,taylor
m,540,24-Jun,10:16,morn,AM,35.11466,-119.624559,above,open,bare,barepatch,,,sunning,taylor
m,540,26-Jun,7:24,early morn,AM,35.11471,-119.6245,below,open,burrow,burrow,washbank,,standing,taylor
m,540,27-Jun,6:40,early morn,AM,35.11473,-119.6245,below,open,burrow,burrow,washbank,,standing,taylor
m,540,24-Jun,6:11,early morn,AM,35.1147,-119.62448,below,open,burrow,burrow,washbank,,standing,taylor
